District_Name,Average_Yield
Ludhiana,3.6504346675939625
Sangrur,3.5328967073100093
Thirunelveli,3.387505056287927
Bhatinda,3.3631595600131092
Madurai,3.276994249959109
Kanyakumari,3.2406466943153265
Ferozpur,3.2340556634406465
Patiala,3.2221302056592993
Jalandhar,3.1870275977109257
Salem,3.1025833010861676
